resume_id,full_name,age,city,profession,profession_category,experience_years,experience_level,work_experience,skills,salary,education,languages,job_expectations,created_date,ml_text
11,Морозов Александр Викторович,36,Санкт-Петербург,Java разработчик,IT,6,Senior,"Junior Java разработчик в Газпром (2019-11 - настоящее время): Оптимизация баз данных, Разработка приложений | Старший Java разработчик в Газпром (2019-11 - 2025-09): Тестирование ПО, Оптимизация баз данных","Spring, Hibernate, Java",349270,Среднее специальное,"Русский (родной), Английский (B1)","Гибкий график, Интересные проекты",2025-07-11,"Кандидат: Морозов Александр Викторович. Профессия: Java разработчик. Опыт: 6 лет (Senior). Навыки: Spring, Hibernate, Java. Опыт работы: Junior Java разработчик в Газпром (2019-11 - настоящее время): Оптимизация баз данных, Разработка приложений | Старший Java разработчик в Газпром (2019-11 - 2025-09): Тестирование ПО, Оптимизация баз данных. Образование: Среднее специальное. Ожидания: Гибкий график, Интересные проекты. Город: Санкт-Петербург"
12,Кузнецов Виктор Александрович,27,Казань,Веб-дизайнер,Design,5,Middle,"Junior Веб-дизайнер в Сбербанк (2020-11 - настоящее время): Создание дизайнов, Разработка интерфейсов | Веб-дизайнер в Газпром (2021-11 - 2025-09): Разработка интерфейсов, Прототипирование","Prototyping, UI/UX, Figma",173012,Высшее,"Русский (родной), Английский (B2)","Интересные проекты, Профессиональный рост",2025-04-20,"Кандидат: Кузнецов Виктор Александрович. Профессия: Веб-дизайнер. Опыт: 5 лет (Middle). Навыки: Prototyping, UI/UX, Figma. Опыт работы: Junior Веб-дизайнер в Сбербанк (2020-11 - настоящее время): Создание дизайнов, Разработка интерфейсов | Веб-дизайнер в Газпром (2021-11 - 2025-09): Разработка интерфейсов, Прототипирование. Образование: Высшее. Ожидания: Интересные проекты, Профессиональный рост. Город: Казань"
13,Кузнецова Валентина Вадимовна,24,Казань,Проектный менеджер,Management,2,Junior,"Младший Проектный менеджер в Сбербанк (2023-11 - настоящее время): Планирование проектов, Управление командой | Старший Проектный менеджер в Яндекс (2023-11 - 2025-08): Переговоры, Планирование проектов","Scrum, Управление проектами, JIRA",65175,Высшее,Русский (родной),"Интересные проекты, Конкурентная зарплата",2025-02-12,"Кандидат: Кузнецова Валентина Вадимовна. Профессия: Проектный менеджер. Опыт: 2 лет (Junior). Навыки: Scrum, Управление проектами, JIRA. Опыт работы: Младший Проектный менеджер в Сбербанк (2023-11 - настоящее время): Планирование проектов, Управление командой | Старший Проектный менеджер в Яндекс (2023-11 - 2025-08): Переговоры, Планирование проектов. Образование: Высшее. Ожидания: Интересные проекты, Конкурентная зарплата. Город: Казань"
14,Смирнов Валерий Артемович,24,Екатеринбург,Финансовый аналитик,Finance,1,Junior,"Junior Финансовый аналитик в ВТБ (2024-11 - настоящее время): Ведение учета, Финансовая отчетность","Финансовый анализ, Excel, Финансовое моделирование",76769,Среднее специальное,"Русский (родной), Английский (B1)","Интересные проекты, Профессиональный рост",2024-03-18,"Кандидат: Смирнов Валерий Артемович. Профессия: Финансовый аналитик. Опыт: 1 лет (Junior). Навыки: Финансовый анализ, Excel, Финансовое моделирование. Опыт работы: Junior Финансовый аналитик в ВТБ (2024-11 - настоящее время): Ведение учета, Финансовая отчетность. Образование: Среднее специальное. Ожидания: Интересные проекты, Профессиональный рост. Город: Екатеринбург"
15,Козлова Алла Алексеевна,27,Москва,Консультант,Other,6,Senior,"Junior Консультант в Газпром (2019-11 - настоящее время): Поддержка пользователей, Анализ данных | Консультант в Яндекс (2021-11 - 2025-10): Консультирование клиентов, Анализ данных","Аналитическое мышление, Консалтинг, Презентации",249347,Высшее,Русский (родной),"Интересные проекты, Профессиональный рост",2024-06-29,"Кандидат: Козлова Алла Алексеевна. Профессия: Консультант. Опыт: 6 лет (Senior). Навыки: Аналитическое мышление, Консалтинг, Презентации. Опыт работы: Junior Консультант в Газпром (2019-11 - настоящее время): Поддержка пользователей, Анализ данных | Консультант в Яндекс (2021-11 - 2025-10): Консультирование клиентов, Анализ данных. Образование: Высшее. Ожидания: Интересные проекты, Профессиональный рост. Город: Москва"
16,Лебедева Валентина Вадимовна,27,Екатеринбург,UX/UI дизайнер,Design,5,Middle,"UX/UI дизайнер в Газпром (2020-11 - настоящее время): Прототипирование, Создание дизайнов | UX/UI дизайнер в Яндекс (2021-11 - 2025-08): Прототипирование, Создание дизайнов","User Research, Wireframing, Figma",143670,Среднее специальное,"Русский (родной), Английский (B2)","Профессиональный рост, Конкурентная зарплата",2024-08-18,"Кандидат: Лебедева Валентина Вадимовна. Профессия: UX/UI дизайнер. Опыт: 5 лет (Middle). Навыки: User Research, Wireframing, Figma. Опыт работы: UX/UI дизайнер в Газпром (2020-11 - настоящее время): Прототипирование, Создание дизайнов | UX/UI дизайнер в Яндекс (2021-11 - 2025-08): Прототипирование, Создание дизайнов. Образование: Среднее специальное. Ожидания: Профессиональный рост, Конкурентная зарплата. Город: Екатеринбург"
17,Иванова Валентина Викторовна,25,Москва,Веб-дизайнер,Design,2,Junior,"Младший Веб-дизайнер в Яндекс (2023-11 - настоящее время): Разработка интерфейсов, Прототипирование | Старший Веб-дизайнер в Сбербанк (2023-11 - 2025-08): Прототипирование, Создание дизайнов","Prototyping, UI/UX, Figma",70231,Высшее,"Русский (родной), Английский (B1)","Интересные проекты, Конкурентная зарплата",2025-11-22,"Кандидат: Иванова Валентина Викторовна. Профессия: Веб-дизайнер. Опыт: 2 лет (Junior). Навыки: Prototyping, UI/UX, Figma. Опыт работы: Младший Веб-дизайнер в Яндекс (2023-11 - настоящее время): Разработка интерфейсов, Прототипирование | Старший Веб-дизайнер в Сбербанк (2023-11 - 2025-08): Прототипирование, Создание дизайнов. Образование: Высшее. Ожидания: Интересные проекты, Конкурентная зарплата. Город: Москва"
18,Лебедев Валерий Вадимович,25,Санкт-Петербург,Графический дизайнер,Design,4,Middle,"Графический дизайнер в Сбербанк (2021-11 - настоящее время): Прототипирование, Создание дизайнов | Графический дизайнер в ВТБ (2021-11 - 2025-10): Прототипирование, Создание дизайнов","Illustrator, Adobe Photoshop, Брендинг",225493,Среднее специальное,Русский (родной),"Профессиональный рост, Гибкий график",2025-02-09,"Кандидат: Лебедев Валерий Вадимович. Профессия: Графический дизайнер. Опыт: 4 лет (Middle). Навыки: Illustrator, Adobe Photoshop, Брендинг. Опыт работы: Графический дизайнер в Сбербанк (2021-11 - настоящее время): Прототипирование, Создание дизайнов | Графический дизайнер в ВТБ (2021-11 - 2025-10): Прототипирование, Создание дизайнов. Образование: Среднее специальное. Ожидания: Профессиональный рост, Гибкий график. Город: Санкт-Петербург"
19,Петров Валентин Андреевич,24,Санкт-Петербург,Финансовый аналитик,Finance,3,Middle,"Младший Финансовый аналитик в Яндекс (2022-11 - настоящее время): Финансовая отчетность, Анализ показателей | Финансовый аналитик в ВТБ (2022-11 - 2025-10): Анализ показателей, Финансовая отчетность","Excel, Финансовое моделирование, Финансовый анализ",220937,Среднее специальное,"Русский (родной), Английский (B1)","Интересные проекты, Профессиональный рост",2024-06-07,"Кандидат: Петров Валентин Андреевич. Профессия: Финансовый аналитик. Опыт: 3 лет (Middle). Навыки: Excel, Финансовое моделирование, Финансовый анализ. Опыт работы: Младший Финансовый аналитик в Яндекс (2022-11 - настоящее время): Финансовая отчетность, Анализ показателей | Финансовый аналитик в ВТБ (2022-11 - 2025-10): Анализ показателей, Финансовая отчетность. Образование: Среднее специальное. Ожидания: Интересные проекты, Профессиональный рост. Город: Санкт-Петербург"
20,Лебедев Андрей Вадимович,33,Казань,Python разработчик,IT,3,Middle,"Python разработчик в Тинькофф (2022-11 - настоящее время): Разработка приложений, Тестирование ПО | Python разработчик в Сбербанк (2022-11 - 2025-06): Тестирование ПО, Оптимизация баз данных","Git, Django, Flask",249678,Среднее специальное,Русский (родной),"Профессиональный рост, Интересные проекты",2024-12-02,"Кандидат: Лебедев Андрей Вадимович. Профессия: Python разработчик. Опыт: 3 лет (Middle). Навыки: Git, Django, Flask. Опыт работы: Python разработчик в Тинькофф (2022-11 - настоящее время): Разработка приложений, Тестирование ПО | Python разработчик в Сбербанк (2022-11 - 2025-06): Тестирование ПО, Оптимизация баз данных. Образование: Среднее специальное. Ожидания: Профессиональный рост, Интересные проекты. Город: Казань"
21,Попов Вадим Алексеевич,29,Екатеринбург,Веб-дизайнер,Design,8,Senior,"Младший Веб-дизайнер в Сбербанк (2017-11 - настоящее время): Прототипирование, Создание дизайнов | Старший Веб-дизайнер в Яндекс (2018-11 - 2025-07): Прототипирование, Создание дизайнов","Prototyping, UI/UX, Figma",239109,Среднее специальное,Русский (родной),"Профессиональный рост, Гибкий график",2024-04-18,"Кандидат: Попов Вадим Алексеевич. Профессия: Веб-дизайнер. Опыт: 8 лет (Senior). Навыки: Prototyping, UI/UX, Figma. Опыт работы: Младший Веб-дизайнер в Сбербанк (2017-11 - настоящее время): Прототипирование, Создание дизайнов | Старший Веб-дизайнер в Яндекс (2018-11 - 2025-07): Прототипирование, Создание дизайнов. Образование: Среднее специальное. Ожидания: Профессиональный рост, Гибкий график. Город: Екатеринбург"
22,Смирнов Артем Артемович,36,Москва,Финансовый аналитик,Finance,6,Senior,"Junior Финансовый аналитик в ВТБ (2019-11 - настоящее время): Финансовая отчетность, Ведение учета | Старший Финансовый аналитик в Сбербанк (2023-11 - 2025-07): Анализ показателей, Финансовая отчетность","Финансовый анализ, Excel, Финансовое моделирование",268235,Среднее специальное,"Русский (родной), Английский (B2)","Конкурентная зарплата, Интересные проекты",2024-11-02,"Кандидат: Смирнов Артем Артемович. Профессия: Финансовый аналитик. Опыт: 6 лет (Senior). Навыки: Финансовый анализ, Excel, Финансовое моделирование. Опыт работы: Junior Финансовый аналитик в ВТБ (2019-11 - настоящее время): Финансовая отчетность, Ведение учета | Старший Финансовый аналитик в Сбербанк (2023-11 - 2025-07): Анализ показателей, Финансовая отчетность. Образование: Среднее специальное. Ожидания: Конкурентная зарплата, Интересные проекты. Город: Москва"
23,Петров Андрей Валерьевич,38,Екатеринбург,Экономист,Finance,8,Senior,"Junior Экономист в ВТБ (2017-11 - настоящее время): Ведение учета, Финансовая отчетность | Экономист в ВТБ (2017-11 - 2025-07): Анализ показателей, Финансовая отчетность","Экономический анализ, Excel, Статистика",362238,Высшее,Русский (родной),"Конкурентная зарплата, Профессиональный рост",2025-09-11,"Кандидат: Петров Андрей Валерьевич. Профессия: Экономист. Опыт: 8 лет (Senior). Навыки: Экономический анализ, Excel, Статистика. Опыт работы: Junior Экономист в ВТБ (2017-11 - настоящее время): Ведение учета, Финансовая отчетность | Экономист в ВТБ (2017-11 - 2025-07): Анализ показателей, Финансовая отчетность. Образование: Высшее. Ожидания: Конкурентная зарплата, Профессиональный рост. Город: Екатеринбург"
24,Иванова Александра Валентиновна,33,Москва,Data Scientist,IT,6,Senior,"Data Scientist в Газпром (2019-11 - настоящее время): Тестирование ПО, Разработка приложений | Data Scientist в Тинькофф (2020-11 - 2025-09): Тестирование ПО, Оптимизация баз данных","Pandas, SQL, Machine Learning",380451,Высшее,"Русский (родной), Английский (B1)","Конкурентная зарплата, Профессиональный рост",2025-02-14,"Кандидат: Иванова Александра Валентиновна. Профессия: Data Scientist. Опыт: 6 лет (Senior). Навыки: Pandas, SQL, Machine Learning. Опыт работы: Data Scientist в Газпром (2019-11 - настоящее время): Тестирование ПО, Разработка приложений | Data Scientist в Тинькофф (2020-11 - 2025-09): Тестирование ПО, Оптимизация баз данных. Образование: Высшее. Ожидания: Конкурентная зарплата, Профессиональный рост. Город: Москва"
25,Козлова Анастасия Валентиновна,35,Санкт-Петербург,Веб-дизайнер,Design,6,Senior,"Веб-дизайнер в Сбербанк (2019-11 - настоящее время): Создание дизайнов, Прототипирование | Веб-дизайнер в Газпром (2019-11 - 2025-07): Разработка интерфейсов, Прототипирование","UI/UX, Figma, Prototyping",294248,Среднее специальное,"Русский (родной), Английский (B1)","Интересные проекты, Гибкий график",2024-01-11,"Кандидат: Козлова Анастасия Валентиновна. Профессия: Веб-дизайнер. Опыт: 6 лет (Senior). Навыки: UI/UX, Figma, Prototyping. Опыт работы: Веб-дизайнер в Сбербанк (2019-11 - настоящее время): Создание дизайнов, Прототипирование | Веб-дизайнер в Газпром (2019-11 - 2025-07): Разработка интерфейсов, Прототипирование. Образование: Среднее специальное. Ожидания: Интересные проекты, Гибкий график. Город: Санкт-Петербург"
26,Козлова Алла Валентиновна,31,Москва,Аналитик данных,Other,4,Middle,"Junior Аналитик данных в Газпром (2021-11 - настоящее время): Поддержка пользователей, Консультирование клиентов | Аналитик данных в ВТБ (2021-11 - 2025-09): Поддержка пользователей, Анализ данных","Excel, SQL, Python",154292,Среднее специальное,Русский (родной),"Гибкий график, Интересные проекты",2025-10-19,"Кандидат: Козлова Алла Валентиновна. Профессия: Аналитик данных. Опыт: 4 лет (Middle). Навыки: Excel, SQL, Python. Опыт работы: Junior Аналитик данных в Газпром (2021-11 - настоящее время): Поддержка пользователей, Консультирование клиентов | Аналитик данных в ВТБ (2021-11 - 2025-09): Поддержка пользователей, Анализ данных. Образование: Среднее специальное. Ожидания: Гибкий график, Интересные проекты. Город: Москва"
27,Смирнов Александр Андреевич,25,Новосибирск,Инженер-проектировщик,Other,2,Junior,"Младший Инженер-проектировщик в ВТБ (2023-11 - настоящее время): Анализ данных, Консультирование клиентов | Инженер-проектировщик в ВТБ (2023-11 - 2025-07): Поддержка пользователей, Консультирование клиентов","AutoCAD, Проектирование, Черчение",101166,Высшее,Русский (родной),"Интересные проекты, Конкурентная зарплата",2024-01-24,"Кандидат: Смирнов Александр Андреевич. Профессия: Инженер-проектировщик. Опыт: 2 лет (Junior). Навыки: AutoCAD, Проектирование, Черчение. Опыт работы: Младший Инженер-проектировщик в ВТБ (2023-11 - настоящее время): Анализ данных, Консультирование клиентов | Инженер-проектировщик в ВТБ (2023-11 - 2025-07): Поддержка пользователей, Консультирование клиентов. Образование: Высшее. Ожидания: Интересные проекты, Конкурентная зарплата. Город: Новосибирск"
28,Петров Виктор Васильевич,35,Москва,HR менеджер,Management,7,Senior,"Junior HR менеджер в Тинькофф (2018-11 - настоящее время): Управление командой, Переговоры | Старший HR менеджер в Газпром (2021-11 - 2025-06): Планирование проектов, Управление командой","Подбор персонала, Onboarding, HR аналитика",342129,Высшее,Русский (родной),"Профессиональный рост, Гибкий график",2024-10-18,"Кандидат: Петров Виктор Васильевич. Профессия: HR менеджер. Опыт: 7 лет (Senior). Навыки: Подбор персонала, Onboarding, HR аналитика. Опыт работы: Junior HR менеджер в Тинькофф (2018-11 - настоящее время): Управление командой, Переговоры | Старший HR менеджер в Газпром (2021-11 - 2025-06): Планирование проектов, Управление командой. Образование: Высшее. Ожидания: Профессиональный рост, Гибкий график. Город: Москва"
29,Морозова Алла Васильевна,29,Санкт-Петербург,Проектный менеджер,Management,6,Senior,"Проектный менеджер в Сбербанк (2019-11 - настоящее время): Переговоры, Управление командой | Старший Проектный менеджер в Яндекс (2023-11 - 2025-09): Управление командой, Планирование проектов","JIRA, Управление проектами, Scrum",286144,Высшее,Русский (родной),"Конкурентная зарплата, Профессиональный рост",2024-05-02,"Кандидат: Морозова Алла Васильевна. Профессия: Проектный менеджер. Опыт: 6 лет (Senior). Навыки: JIRA, Управление проектами, Scrum. Опыт работы: Проектный менеджер в Сбербанк (2019-11 - настоящее время): Переговоры, Управление командой | Старший Проектный менеджер в Яндекс (2023-11 - 2025-09): Управление командой, Планирование проектов. Образование: Высшее. Ожидания: Конкурентная зарплата, Профессиональный рост. Город: Санкт-Петербург"
30,Лебедева Алла Викторовна,29,Москва,Инженер-проектировщик,Other,2,Junior,"Младший Инженер-проектировщик в Сбербанк (2023-11 - настоящее время): Анализ данных, Консультирование клиентов | Инженер-проектировщик в Тинькофф (2023-11 - 2025-08): Анализ данных, Консультирование клиентов","AutoCAD, Черчение, Проектирование",62888,Среднее специальное,"Русский (родной), Английский (B2)","Конкурентная зарплата, Интересные проекты",2024-02-06,"Кандидат: Лебедева Алла Викторовна. Профессия: Инженер-проектировщик. Опыт: 2 лет (Junior). Навыки: AutoCAD, Черчение, Проектирование. Опыт работы: Младший Инженер-проектировщик в Сбербанк (2023-11 - настоящее время): Анализ данных, Консультирование клиентов | Инженер-проектировщик в Тинькофф (2023-11 - 2025-08): Анализ данных, Консультирование клиентов. Образование: Среднее специальное. Ожидания: Конкурентная зарплата, Интересные проекты. Город: Москва"
31,Морозова Александра Андреевна,27,Санкт-Петербург,Веб-дизайнер,Design,1,Junior,"Junior Веб-дизайнер в ВТБ (2024-11 - настоящее время): Прототипирование, Создание дизайнов","Prototyping, UI/UX, Figma",61586,Высшее,"Русский (родной), Английский (B2)","Конкурентная зарплата, Гибкий график",2024-02-11,"Кандидат: Морозова Александра Андреевна. Профессия: Веб-дизайнер. Опыт: 1 лет (Junior). Навыки: Prototyping, UI/UX, Figma. Опыт работы: Junior Веб-дизайнер в ВТБ (2024-11 - настоящее время): Прототипирование, Создание дизайнов. Образование: Высшее. Ожидания: Конкурентная зарплата, Гибкий график. Город: Санкт-Петербург"
32,Смирнова Анастасия Артемовна,27,Москва,JavaScript разработчик,IT,2,Junior,"Junior JavaScript разработчик в Сбербанк (2023-11 - настоящее время): Тестирование ПО, Разработка приложений | Старший JavaScript разработчик в ВТБ (2023-11 - 2025-09): Оптимизация баз данных, Тестирование ПО","HTML/CSS, Vue, JavaScript",86367,Среднее специальное,"Русский (родной), Английский (B1)","Конкурентная зарплата, Профессиональный рост",2024-02-15,"Кандидат: Смирнова Анастасия Артемовна. Профессия: JavaScript разработчик. Опыт: 2 лет (Junior). Навыки: HTML/CSS, Vue, JavaScript. Опыт работы: Junior JavaScript разработчик в Сбербанк (2023-11 - настоящее время): Тестирование ПО, Разработка приложений | Старший JavaScript разработчик в ВТБ (2023-11 - 2025-09): Оптимизация баз данных, Тестирование ПО. Образование: Среднее специальное. Ожидания: Конкурентная зарплата, Профессиональный рост. Город: Москва"
33,Сидорова Валерия Вадимовна,24,Санкт-Петербург,Веб-дизайнер,Design,1,Junior,"Junior Веб-дизайнер в Сбербанк (2024-11 - настоящее время): Создание дизайнов, Прототипирование","UI/UX, Prototyping, Figma",101492,Высшее,Русский (родной),"Гибкий график, Конкурентная зарплата",2024-04-07,"Кандидат: Сидорова Валерия Вадимовна. Профессия: Веб-дизайнер. Опыт: 1 лет (Junior). Навыки: UI/UX, Prototyping, Figma. Опыт работы: Junior Веб-дизайнер в Сбербанк (2024-11 - настоящее время): Создание дизайнов, Прототипирование. Образование: Высшее. Ожидания: Гибкий график, Конкурентная зарплата. Город: Санкт-Петербург"
34,Морозов Артем Борисович,28,Казань,Веб-дизайнер,Design,1,Junior,"Junior Веб-дизайнер в ВТБ (2024-11 - настоящее время): Прототипирование, Разработка интерфейсов","Prototyping, Figma, UI/UX",82511,Среднее специальное,"Русский (родной), Английский (B1)","Профессиональный рост, Гибкий график",2024-08-25,"Кандидат: Морозов Артем Борисович. Профессия: Веб-дизайнер. Опыт: 1 лет (Junior). Навыки: Prototyping, Figma, UI/UX. Опыт работы: Junior Веб-дизайнер в ВТБ (2024-11 - настоящее время): Прототипирование, Разработка интерфейсов. Образование: Среднее специальное. Ожидания: Профессиональный рост, Гибкий график. Город: Казань"
